index,open,high,low,close,tick_volume,spread,real_volume,i,local_min,local_max,roll_vol,roll_vol_mean,roll_vol_std,last_min_price,rol_min,s_rol_min,s_rol_max,stoch,candle_side,v_pattern,v_pattern_near,ppvi,rolling_ppvi,ret_n
2019-01-16 16:44:00,94490.0,94495.0,94420.0,94440.0,3040,5,11615,313646,1,0,18087.0,24008.15,1200.0542851853745,94420.0,94400.0,94400.0,94590.0,0.21052631578947367,-1.0,0,1.0,True,1.0,65.0
2019-01-23 15:15:00,96110.0,96125.0,96035.0,96045.0,3875,5,19313,316307,0,0,57572.0,34156.53,2459.633633143262,95940.0,95940.0,95940.0,96365.0,0.24705882352941178,-1.0,0,1.0,True,1.0,10.0
2019-01-28 11:44:00,95755.0,95770.0,95700.0,95700.0,1795,5,5786,317194,0,0,20594.0,36045.61,2794.6606658943606,95550.0,95550.0,95550.0,96075.0,0.2857142857142857,-1.0,0,1.0,True,1.0,0.0
2019-02-04 10:00:00,97560.0,97565.0,97450.0,97485.0,5225,5,19790,319840,1,0,28793.0,27411.32,3470.117906242858,97450.0,97430.0,97430.0,97745.0,0.1746031746031746,-1.0,0,1.0,True,1.0,190.0
2019-02-04 11:05:00,97135.0,97140.0,97065.0,97070.0,3148,5,11635,319905,0,0,27811.0,36163.34,4976.518910922752,96945.0,96945.0,96945.0,97445.0,0.25,-1.0,0,1.0,True,1.0,20.0
2019-02-05 14:00:00,98155.0,98155.0,98050.0,98065.0,5368,5,18591,320630,0,0,39725.0,28822.78,1418.9613583869973,97975.0,97975.0,97975.0,98340.0,0.2465753424657534,-1.0,0,1.0,True,1.0,110.0
2019-02-06 09:25:00,97375.0,97395.0,97280.0,97340.0,3784,5,14222,320905,0,0,36928.0,28365.1,1676.0830118974234,97200.0,97200.0,97200.0,98010.0,0.1728395061728395,-1.0,0,1.0,True,1.0,60.0
2019-02-06 10:05:00,97300.0,97300.0,97165.0,97195.0,5145,5,17633,320945,0,0,40953.0,31439.58,2209.117339727562,97115.0,97115.0,97115.0,97445.0,0.24242424242424243,-1.0,0,1.0,True,1.0,105.0
2019-02-11 13:22:00,94000.0,94005.0,93865.0,93895.0,5195,5,18912,322788,0,0,47914.0,42067.4,2041.9213519624702,93785.0,93785.0,93785.0,94315.0,0.20754716981132076,-1.0,0,1.0,True,1.0,45.0
2019-02-12 12:21:00,95350.0,95375.0,95335.0,95340.0,1674,5,6016,323277,0,0,16310.0,36472.44,1966.428843964668,95250.0,95250.0,95250.0,95565.0,0.2857142857142857,-1.0,0,1.0,True,1.0,-25.0
2019-02-12 17:35:00,95995.0,96000.0,95945.0,95980.0,2053,5,9026,323591,1,0,28043.0,33588.59,1283.6764258868266,95945.0,95865.0,95865.0,96265.0,0.2875,-1.0,0,1.0,True,1.0,110.0
2019-02-13 14:18:00,96435.0,96440.0,96380.0,96430.0,1868,5,7171,323944,0,0,36495.0,32988.14,2100.807021005177,96355.0,96355.0,96355.0,96885.0,0.14150943396226415,-1.0,0,1.0,True,1.0,-105.0
2019-02-13 16:57:00,97020.0,97020.0,96955.0,96995.0,2220,5,7772,324103,0,0,24464.0,33621.07,2273.6636072279225,96890.0,96890.0,96890.0,97410.0,0.20192307692307693,-1.0,0,1.0,True,1.0,-110.0
2019-02-14 11:36:00,96585.0,96590.0,96390.0,96410.0,8872,5,22198,324332,0,0,36870.0,46726.37,6530.02991756599,96290.0,96290.0,96290.0,96860.0,0.21052631578947367,-1.0,0,1.0,True,1.0,0.0
2019-02-20 11:26:00,98290.0,98340.0,98230.0,98280.0,5823,5,19974,326522,0,0,46197.0,57484.84,7666.461040153012,97930.0,97930.0,97930.0,99145.0,0.2880658436213992,-1.0,0,1.0,True,1.0,105.0
2019-02-20 14:05:00,98370.0,98375.0,98175.0,98195.0,8586,5,30591,326681,0,0,53285.0,33485.62,10354.779600604948,98115.0,98115.0,98115.0,98720.0,0.1322314049586777,-1.0,0,1.0,True,1.0,45.0
2019-02-20 16:11:00,98210.0,98225.0,98020.0,98075.0,7866,5,25370,326807,1,0,66727.0,30737.68,1738.2612607138462,98020.0,98020.0,98020.0,98520.0,0.11,-1.0,0,1.0,True,1.0,100.0
2019-02-21 11:55:00,97215.0,97240.0,97125.0,97150.0,4013,5,12707,327101,0,0,29269.0,47466.01,4024.228507293705,97090.0,97090.0,97090.0,97495.0,0.14814814814814814,-1.0,0,1.0,True,1.0,-90.0
2019-02-22 15:23:00,98195.0,98200.0,98135.0,98145.0,2159,5,7893,327859,0,0,18358.0,24794.63,557.063780141914,98090.0,98090.0,98090.0,98335.0,0.22448979591836735,-1.0,0,1.0,True,1.0,0.0
2019-02-25 11:21:00,98755.0,98765.0,98705.0,98710.0,3421,5,12960,328167,0,0,34729.0,36307.02,4679.9752598308905,98650.0,98650.0,98650.0,98940.0,0.20689655172413793,-1.0,0,1.0,True,1.0,110.0
2019-02-25 14:23:00,98110.0,98115.0,98075.0,98090.0,2411,5,9911,328349,0,0,32747.0,31239.81,3910.684555001928,98025.0,98025.0,98025.0,98295.0,0.24074074074074073,-1.0,0,1.0,True,1.0,-30.0
2019-02-27 10:41:00,98020.0,98050.0,97970.0,97985.0,5857,5,17081,329227,0,0,47976.0,36435.04,5559.9464767582485,97805.0,97805.0,97805.0,98435.0,0.2857142857142857,-1.0,0,1.0,True,1.0,15.0
2019-02-28 12:36:00,96415.0,96425.0,96315.0,96350.0,7233,5,25223,329892,0,0,48661.0,45685.54,2184.8172490388,96255.0,96255.0,96255.0,96625.0,0.25675675675675674,-1.0,0,1.0,True,1.0,-45.0
2019-03-01 10:48:00,95950.0,95980.0,95895.0,95925.0,5344,5,19790,330340,0,0,39644.0,43273.44,7771.430987558563,95750.0,95750.0,95750.0,96400.0,0.2692307692307692,-1.0,0,1.0,True,1.0,5.0
2019-03-01 13:33:00,95800.0,95810.0,95710.0,95715.0,3549,5,12434,330505,0,0,32299.0,35527.72,2753.612330896983,95640.0,95640.0,95640.0,96120.0,0.15625,-1.0,0,1.0,True,1.0,95.0
